Repo Id,Commit Id,Date,Message
186462080,6cf4d14cc72942a0b8932a4c573617bc77b77fa1,2019-06-12T12:13:16Z,Begin analysis part
186462080,120f3c0a40c689dbeeaab8d4fd8062d7beb1e02e,2019-06-12T09:38:35Z,Add data exploration and methodology
186462080,0f9e96867263967e2060be7a23f553ce386862e8,2019-06-12T06:00:14Z,Merge branch 'master' of https://github.com/kb22/Coursera_Capstone
186462080,e88fa36c469575237354e0e5d9647bfcd2436739,2019-06-12T05:59:35Z,Add more descriptive introduction and data collection
186462080,ed5daf3332bc20e2b151b6290556a1033abf1166,2019-06-12T02:59:02Z,Update README.md
186462080,7fa23f9a4fd3e1d0bcff1d1596961fcbed9227d4,2019-06-12T02:53:35Z,Save all maps as html files
186462080,dbb2c73382ead1f6e3bc3122a7496e7be8693b20,2019-06-12T02:53:15Z,Add code to save maps as html
186462080,a5758a983029be18ffe116477fa3784a4261851d,2019-06-12T02:34:09Z,Text changes to notebook
186462080,f4bd455fc75cb85a61d3df4b6130db3fdf6705dc,2019-06-12T01:43:15Z,Add requirements file
186462080,cc2897305fde9d0755c67f8a490ebcf2a7882beb,2019-06-11T13:13:26Z,Add notebook for capstone project
186462080,1856100989576529862688edc4fd4fe8a3bbaf29,2019-06-08T20:15:28Z,Add markdown for libraries import
186462080,e0e95f20a7465cddec2607f80c2832085a6a9d2c,2019-06-08T20:12:57Z,Add notebook for capstone project
186462080,68eee6f6038f406d01c793d22ecdf168ade9c4f0,2019-06-08T20:11:23Z,Made introduction more clear
186462080,67ac17462df30a69c69114857dbaa6db269f3d50,2019-06-08T19:54:31Z,Add steps of data aggregation
186462080,0560ea8e0ca54be5f2c4c12d3639f54b4364f069,2019-06-08T19:46:30Z,Add data sources
186462080,6bba17dc893da0298df0ef45afc647caa1d019bc,2019-06-08T19:36:10Z,Add PDF version of the report
186462080,3e2e857513635c97ee19e93256a3aaf26160c2c8,2019-06-08T19:34:44Z,Add data section
186462080,558907381f7528396f2615ab615733846b575676,2019-06-08T19:18:15Z,Add Capstone Project report
186462080,ae326c1c20b77de2c137eac82a34f761be7b33c1,2019-05-27T20:00:59Z,Add notebook with Toronto clustering
186462080,f76934b16693e36d50e261469de2002b46376bbd,2019-05-27T06:09:16Z,Add notebook and dataset with coordinates
186462080,b9687cd21028c4a8ad63a9ad21df2481ada2a394,2019-05-27T05:21:06Z,Add data collection notebook and created dataset
