Id,Name,Description,Created on,Updated on,Owner,License,Includes wiki,Forks count,Issues count,Stars count,Watchers count,Repo URL,Commits URL,Languages URL,Languages
154344656,Activity-Recognition-using-Machine-Learning,Use machine learning to classify various activities.,2018-10-23T14:40:38Z,2019-04-30T08:00:17Z,kb22,MIT License,True,3,0,1,1,https://api.github.com/repos/kb22/Activity-Recognition-using-Machine-Learning,https://api.github.com/repos/kb22/Activity-Recognition-using-Machine-Learning/commits,https://api.github.com/repos/kb22/Activity-Recognition-using-Machine-Learning/languages,Jupyter Notebook
98045107,Animation-in-C,A frame by frame Animation designed in C Language.,2017-07-22T16:52:58Z,2017-07-22T17:06:23Z,kb22,,True,0,0,0,0,https://api.github.com/repos/kb22/Animation-in-C,https://api.github.com/repos/kb22/Animation-in-C/commits,https://api.github.com/repos/kb22/Animation-in-C/languages,C
175083480,Article-Recommender,"Using LDA, the project recommends Wikipedia articles based on a search query.",2019-03-11T21:04:20Z,2019-06-17T12:54:23Z,kb22,MIT License,True,2,0,3,3,https://api.github.com/repos/kb22/Article-Recommender,https://api.github.com/repos/kb22/Article-Recommender/commits,https://api.github.com/repos/kb22/Article-Recommender/languages,Python
104722536,Attendance-Marker,A QR Code based attendance tracking application.,2017-09-25T08:20:58Z,2017-09-25T08:22:21Z,kb22,,True,0,0,0,0,https://api.github.com/repos/kb22/Attendance-Marker,https://api.github.com/repos/kb22/Attendance-Marker/commits,https://api.github.com/repos/kb22/Attendance-Marker/languages,Java
161978072,Color-Identification-using-Machine-Learning,This project uses Machine Learning to extract a set number of colors from an image.,2018-12-16T07:27:38Z,2019-06-19T08:26:32Z,kb22,MIT License,True,3,0,11,11,https://api.github.com/repos/kb22/Color-Identification-using-Machine-Learning,https://api.github.com/repos/kb22/Color-Identification-using-Machine-Learning/commits,https://api.github.com/repos/kb22/Color-Identification-using-Machine-Learning/languages,Jupyter Notebook
98046895,Computer-Simulation-using-Proteus,Simulated the functioning of a basic computer using a simulation tool Proteus.,2017-07-22T17:23:04Z,2017-07-22T17:23:04Z,kb22,,True,0,0,0,0,https://api.github.com/repos/kb22/Computer-Simulation-using-Proteus,https://api.github.com/repos/kb22/Computer-Simulation-using-Proteus/commits,https://api.github.com/repos/kb22/Computer-Simulation-using-Proteus/languages,
186462080,Coursera_Capstone,The repository will include code for the Capstone project in Applied Data Science Capstone course on Coursera.,2019-05-13T17:00:15Z,2019-06-17T08:10:53Z,kb22,,True,1,0,0,0,https://api.github.com/repos/kb22/Coursera_Capstone,https://api.github.com/repos/kb22/Coursera_Capstone/commits,https://api.github.com/repos/kb22/Coursera_Capstone/languages,"Jupyter Notebook, HTML"
149577869,Create-dataset-using-API,A Python notebook to create a dataset through the Twitch API,2018-09-20T08:36:38Z,2019-06-20T19:07:44Z,kb22,,True,7,0,3,3,https://api.github.com/repos/kb22/Create-dataset-using-API,https://api.github.com/repos/kb22/Create-dataset-using-API/commits,https://api.github.com/repos/kb22/Create-dataset-using-API/languages,Jupyter Notebook
173539133,Create-Face-Data-from-Images,Using OpenCV Face Detection Neural Network to separate faces from list of images.,2019-03-03T06:24:15Z,2019-06-09T12:34:33Z,kb22,,True,4,0,5,5,https://api.github.com/repos/kb22/Create-Face-Data-from-Images,https://api.github.com/repos/kb22/Create-Face-Data-from-Images/commits,https://api.github.com/repos/kb22/Create-Face-Data-from-Images/languages,Python
183209160,Deep-Learning-A-Z-Coursework,The project includes all the files for the Deep Learning A-Z Course on Udemy.,2019-04-24T10:48:09Z,2019-06-05T21:49:42Z,kb22,GNU General Public License v3.0,True,0,0,2,2,https://api.github.com/repos/kb22/Deep-Learning-A-Z-Coursework,https://api.github.com/repos/kb22/Deep-Learning-A-Z-Coursework/commits,https://api.github.com/repos/kb22/Deep-Learning-A-Z-Coursework/languages,Jupyter Notebook
176952555,Digit-Recognition-with-Parameter-Tuning,The project includes using GridSearchCV to identify the best combination of estimator parameters.,2019-03-21T13:41:51Z,2019-05-25T00:47:07Z,kb22,MIT License,True,1,0,1,1,https://api.github.com/repos/kb22/Digit-Recognition-with-Parameter-Tuning,https://api.github.com/repos/kb22/Digit-Recognition-with-Parameter-Tuning/commits,https://api.github.com/repos/kb22/Digit-Recognition-with-Parameter-Tuning/languages,Jupyter Notebook
173311184,Face-Detection-using-OpenCV,Using OpenCV's inbuilt model for Face Detection.,2019-03-01T14:00:04Z,2019-04-30T16:43:08Z,kb22,,True,1,0,2,2,https://api.github.com/repos/kb22/Face-Detection-using-OpenCV,https://api.github.com/repos/kb22/Face-Detection-using-OpenCV/commits,https://api.github.com/repos/kb22/Face-Detection-using-OpenCV/languages,Python
192858007,GitHub-User-Insights-using-API,The project involves collecting data about a user's profile and drawing insights from it.,2019-06-20T05:59:35Z,2019-06-22T07:43:46Z,kb22,MIT License,True,0,0,0,0,https://api.github.com/repos/kb22/GitHub-User-Insights-using-API,https://api.github.com/repos/kb22/GitHub-User-Insights-using-API/commits,https://api.github.com/repos/kb22/GitHub-User-Insights-using-API/languages,Jupyter Notebook
169992081,Heart-Disease-Prediction,A project that predicts whether a person is suffering from heart disease or not.,2019-02-10T15:21:48Z,2019-05-29T03:00:11Z,kb22,MIT License,True,3,0,7,7,https://api.github.com/repos/kb22/Heart-Disease-Prediction,https://api.github.com/repos/kb22/Heart-Disease-Prediction/commits,https://api.github.com/repos/kb22/Heart-Disease-Prediction/languages,Jupyter Notebook
